numid,number
0,31
1,25
2,33
3,33
4,32
5,22
6,31
7,32
8,30
9,30
10,30
11,30
12,30
13,29
14,31
15,30
16,33
17,32
18,27
19,30
20,27
21,24
22,33
23,27
24,23
25,31
26,32
27,25
28,32
29,33
30,19
31,29
32,29
33,25
34,31
35,31
36,33
37,31
38,28
39,31
40,32
41,25
42,31
43,27
44,31
45,31
46,28
47,21
48,26
49,29
50,31
