numid,number
0,1
1,4
2,4
3,2
4,2
5,1
6,9
7,2
8,3
9,2
10,7
11,2
12,1
13,6
14,5
15,5
16,4
17,1
18,1
19,11
20,1
21,2
22,15
23,4
24,1
25,8
26,8
27,5
28,4
29,2
30,5
31,1
32,10
33,2
34,7
35,4
36,2
37,7
38,13
39,18
40,1
41,4
42,5
43,6
44,1
45,12
46,2
47,2
48,1
49,1
50,2
