numid,number
0,25
1,23
2,31
3,32
4,18
5,18
6,29
7,22
8,27
9,27
10,22
11,25
12,23
13,27
14,27
15,23
16,32
17,28
18,24
19,25
20,24
21,17
22,29
23,22
24,10
25,27
26,31
27,21
28,26
29,32
30,15
31,20
32,27
33,24
34,29
35,29
36,28
37,24
38,21
39,30
40,28
41,19
42,26
43,26
44,26
45,25
46,24
47,12
48,19
49,18
50,30
