numid,number
0,17
1,12
2,12
3,22
4,16
5,11
6,26
7,17
8,19
9,14
10,13
11,23
12,20
13,26
14,24
15,20
16,19
17,24
18,10
19,22
20,13
21,14
22,28
23,15
24,7
25,23
26,21
27,20
28,23
29,10
30,14
31,15
32,24
33,15
34,24
35,15
36,23
37,20
38,19
39,23
40,22
41,15
42,24
43,20
44,24
45,22
46,22
47,10
48,17
49,10
50,22
