2,15
1,4
1,3
2,7
2,15
12,4
1,10
6,11
5,4
4,9
1,11
18,16
13,6
7,5
2,8
4,6
7,7
2,11
10,7
1,10
5,7
2,2
4,10
5,5
8,6
8,8
1,4
4,4
15,4
2,15
1,5
11,5
1,15
1,12
4,13
5,15
5,11
6,3
1,2
2,10
7,9
2,5
3,8
2,7
9,13
1,14
2,15
2,9
4,10
4,8
1,9
3,12
5,2
1,1
6,13
8,6
10,7
10,16
5,7
2,14
7,13
2,15
2,8
6,5
5,7
1,16
15,3
9,15
7,6
2,7
6,7
2,5
3,7
1,14
4,12
3,10
1,6
4,5
6,13
1,12
4,15
1,10
1,3
7,7
1,14
2,3
2,12
11,13
15,15
5,7
4,2
3,1
5,14
4,13
7,16
2,10
1,3
9,10
7,16
15,8
2,9
2,9
9,4
9,14
3,2
7,13
6,9
5,9
1,14
6,12
2,4
5,8
9,5
2,16
6,1
4,4
8,16
5,4
1,11
5,13
1,1
3,4
1,6
2,6
6,1
6,16
1,12
6,10
6,9
2,6
4,7
2,7
1,8
3,15
2,12
9,5
1,16
2,5
9,4
6,9
2,7
1,14
1,2
2,2
1,10
7,1
1,7
6,12
9,13
5,2
19,1
3,1
8,11
8,1
9,4
3,5
13,14
3,3
16,7
12,9
5,8
4,8
4,15
3,11
7,11
3,14
5,11
6,4
2,1
1,16
1,12
9,2
6,10
3,4
2,16
7,14
4,3
1,1
5,12
7,9
12,4
3,3
1,16
3,3
6,16
3,3
4,11
3,15
6,15
8,15
3,3
10,12
12,15
6,1
11,5
4,1
4,12
2,13
3,7
4,7
9,5
1,10
6,10
12,4
5,5
1,16
1,7
2,7
7,1
7,15
3,12
2,6
10,4
2,2
5,6
13,12
11,14
8,12
1,1
9,16
6,13
7,7
8,3
11,12
5,11
1,13
9,9
9,7
8,5
16,15
7,13
1,16
13,4
13,11
3,2
6,12
1,9
1,11
14,12
2,1
1,7
2,4
2,15
3,1
10,3
6,10
5,4
1,6
7,6
10,12
5,10
2,1
5,7
5,7
1,12
16,16
2,8
1,12
4,12
4,11
1,3
4,1
1,12
1,11
8,12
5,4
1,13
2,15
7,8
1,13
9,12
9,1
6,14
7,6
8,5
2,8
6,9
6,1
9,4
6,7
4,4
1,10
1,8
9,1
5,11
10,15
12,1
2,9
9,11
5,12
2,5
15,15
6,5
2,7
13,13
14,2
9,11
3,2
1,16
1,9
6,4
4,8
1,4
1,5
8,8
1,15
1,15
6,10
2,14
5,16
8,12
11,1
1,12
9,16
6,4
1,13
2,14
2,15
9,4
1,14
1,2
1,7
3,10
2,12
4,9
3,4
7,5
13,10
2,9
5,1
1,7
2,2
11,15
9,8
4,6
13,16
1,12
5,14
5,3
4,3
1,3
12,13
3,5
11,16
1,11
8,7
7,7
4,14
5,7
2,13
10,14
9,10
8,1
4,10
14,8
1,4
2,4
6,9
13,12
2,13
1,4
2,11
8,1
3,6
4,15
1,9
4,14
4,3
1,8
1,13
7,15
2,10
10,15
7,5
1,6
8,12
4,8
3,9
7,1
1,13
6,10
1,1
10,11
3,14
3,16
6,13
8,10
6,6
1,11
4,13
3,9
3,10
2,1
5,2
13,13
5,8
5,14
1,10
5,2
5,14
2,12
6,1
10,6
2,4
1,5
6,11
1,9
1,4
6,9
5,3
5,4
9,16
1,3
2,10
12,7
1,3
2,2
1,6
2,2
3,2
11,16
9,15
14,4
2,13
3,4
14,13
16,7
1,11
1,14
2,7
7,15
12,8
5,8
1,1
2,5
3,7
1,14
5,13
4,9
3,15
6,6
2,8
1,8
1,8
5,12
2,11
8,10
5,7
2,2
2,7
8,10
6,11
3,6
1,12
1,2
1,16
2,14
1,7
5,11
4,16
1,6
2,16
3,6
2,14
3,16
6,9
2,8
3,6
5,13
2,11
2,8
1,1
2,4
1,14
14,2
9,8
10,13
3,13
6,6
6,16
8,15
2,10
2,15
4,12
