numid,number
0,9
1,8
2,10
3,9
4,15
5,14
6,13
7,7
8,8
9,5
10,9
11,10
12,2
13,3
14,11
15,15
16,13
17,12
18,15
19,5
20,5
21,15
22,4
23,4
24,4
25,8
26,6
27,5
28,10
29,2
30,7
31,10
32,7
33,11
34,7
35,6
36,8
37,5
38,6
39,16
40,11
41,9
42,4
43,11
44,10
45,4
46,15
47,7
48,3
49,4
50,15
