numid,number
0,2
1,6
2,8
3,5
4,6
5,3
6,21
7,15
8,10
9,4
10,8
11,15
12,7
13,10
14,8
15,7
16,7
17,6
18,2
19,15
20,4
21,4
22,19
23,10
24,2
25,13
26,16
27,7
28,13
29,5
30,8
31,8
32,12
33,5
34,8
35,9
36,3
37,12
38,14
39,20
40,9
41,8
42,10
43,7
44,7
45,16
46,10
47,5
48,4
49,3
50,6
